UID,Source_Name,Name_in_2018_paper_db,ra,dec,bestLum,Lum_2020,lum_from_2018_paper,Dist_from_2018_paper,Vsys_in_km_per_s,objClass_sym,objClass_int
148,Arp_220,null,233.7383,23.50306,0,?,0,0,5434,?,0
149,UGC_9954,UGC9954,234.8196,24.455,30,30,30,147.4,10310,?,0
150,IRAS_15480-0344,null,237.6729,-3.888333,211,211,0,0,9084,?,0
151,J1600+1545,null,240.0743,15.75653,0,?,0,0,4996,?,0
152,J1607+0106,2MASXJ16070391+0106296,241.7664,1.108139,6,6,6,116.7,8216,?,0
153,J1630+3923,null,247.6358,39.38417,0,?,0,0,9161,?,0
154,CGCG_168-018,CGCG168-018,247.6705,30.48878,192,192,192,157.4,11015,?,0
155,IGR_J16385-2057,null,249.6288,-20.92333,10,10,0,0,8064,?,0
156,NGC_6240,NGC6240,253.2454,2.400833,40,40,40,104.8,7465,?,0
157,NGC_6264,NGC6264,254.3171,27.84972,2100,2100,2100,145.4,10177,D,5
158,J1658+3923,null,254.5646,39.39139,672,672,0,0,10290,?,0
159,J1710+1344,2MASXJ17101815+1344058,257.5754,13.735,69,69,69,135,9448,?,0
160,NGC_6323,NGC6323,258.325,43.78222,500,500,500,111,7772,D,5
161,NGC_6300,NGC6300,259.2479,-62.82056,3,3,3,15.8,1110,?,0
162,CGCG_252-044,CGCG252-044,260.1233,50.37714,110,?,110,105.1,7360,?,0
163,CGCG_170-022,null,260.7357,31.34197,0,?,0,0,4543,?,0
164,J1754+3253,null,268.6225,32.88722,0,?,0,0,7798,?,0
165,ESO_103-G35,ESO103-G35,279.5846,-65.42834,400,400,400,56.9,3985,?,0
166,J1939-0124,2MASXJ19393889-0124328,294.9121,-1.409167,160,160,160,88.4,6188,D?,4
167,3C403,3C403,298.0658,2.506667,2000,2000,2000,252.7,17690,J,2
168,NGC_6926,NGC6926,308.2754,-2.0275,500,500,500,85.3,5970,?,0
169,J2057+1707,null,314.3496,17.1275,0,?,0,0,10822,?,0
170,UGC_11685,UGC11685,317.2975,-1.798583,80,80,80,83.9,5872,?,0
171,IC_1361,IC1361,317.8712,5.054333,35,35,35,56.6,3962,?,0
172,J2144+1534,2MASXJ21445731+1534503,326.2387,15.58056,189,189,189,130.5,9138,?,0
173,J2201-3746,null,330.3213,-37.77333,0,?,0,0,9661,?,0
174,TXS_2226-184,TXS2226-184,337.3021,-18.17972,6300,6300,6300,107.1,7495,?,0
175,UGC_12149,null,340.2817,32.16989,0,?,0,0,7317,?,0
176,NGC_7479,NGC7479,346.2361,12.32289,19,19,19,34,2381,?,0
177,IC_1481,IC1481,349.8546,5.906111,320,320,320,87.4,6120,?,0
178,MCG+05-55-041,MCG+05-55-041,354.3185,31.80072,93,93,93,133.7,9356,?,0
179,NGC_7738,null,356.0083,0.5166667,468,468,0,0,6762,?,0
180,CGCG498-038,CGCG498-038,358.9342,30.21222,268,268,268,132,9240,?,0
